AppID,Genres
1417450,Early Access
778900,Action
778900,Adventure
778900,Casual
778900,Indie
1004200,Indie
1004200,Racing
1004200,Simulation
1004200,Sports
1506230,Action
1506230,Adventure
1506230,Indie
638230,Adventure
638230,Indie
1839080,Action
1839080,Adventure
1839080,Casual
1839080,Indie
1839080,Racing
907460,Action
907460,Adventure
907460,Casual
907460,Indie
907460,RPG
907460,Simulation
907460,Sports
907460,Strategy
1307070,Casual
1221640,Casual
1221640,Indie
703120,Action
703120,Casual
703120,Indie
703120,Simulation
328710,Action
328710,Adventure
328710,Indie
328710,Early Access
926140,Adventure
926140,Casual
926140,Indie
926140,RPG
926140,Simulation
926140,Strategy
1700630,Adventure
1700630,Indie
1700630,Simulation
1700630,Strategy
1700630,Early Access
845290,Action
845290,Adventure
845290,Casual
845290,Indie
739720,Action
739720,Adventure
739720,Indie
739720,RPG
739720,Strategy
739720,Early Access
1776800,Action
1776800,Casual
1776800,Indie
873970,Simulation
1238130,Adventure
1238130,Casual
1238130,Indie
1238130,RPG
1593100,Action
1593100,Indie
1365900,Casual
1365900,Indie
962950,Indie
778120,Action
778120,Indie
778120,Simulation
1187910,Action
1187910,Indie
1187910,RPG
763350,Action
763350,Casual
763350,Indie
763350,Sports
1537410,Racing
761910,Action
761910,Indie
761910,Strategy
975470,Adventure
975470,Indie
990900,Indie
990900,Simulation
990900,Early Access
372770,Action
372770,Indie
372770,RPG
462580,Casual
462580,Simulation
462580,Strategy
926870,Action
926870,Indie
926870,Early Access
848720,Action
848720,Indie
1343040,Casual
1343040,Free to Play
1343040,Sports
1343040,Strategy
519140,Action
519140,Adventure
519140,Free to Play
519140,Indie
1987030,Adventure
1987030,Indie
1987030,RPG
821260,Action
821260,Indie
1565720,Adventure
1565720,Indie
1565720,Simulation
1565720,Strategy
748490,RPG
545000,Strategy
1623720,Casual
1623720,Indie
544220,Sexual Content
544220,Nudity
544220,Violent
544220,Gore
544220,Action
544220,Adventure
544220,Indie
544220,Early Access
338190,Action
338190,Adventure
338190,Casual
338190,Indie
338190,Racing
1375270,Adventure
1375270,Indie
551680,Adventure
551680,Indie
1874510,Action
1874510,Adventure
1874510,Casual
1874510,Indie
1874510,RPG
1874510,Early Access
1693780,Action
1693780,Casual
1693780,Indie
1693780,Strategy
1466930,Action
1466930,Casual
1466930,Massively Multiplayer
1748070,Casual
1748070,Indie
1755120,Action
1755120,Adventure
1755120,Free to Play
1755120,Massively Multiplayer
1755120,RPG
964920,Adventure
964920,Casual
964920,Indie
964920,Simulation
964920,Strategy
1085570,Action
1085570,Adventure
1085570,Indie
1085570,RPG
1528020,Action
1528020,Adventure
1528020,Early Access
1796350,Action
1796350,Massively Multiplayer
1796350,Sports
1796350,Early Access
1444320,Action
1444320,Adventure
1444320,Simulation
1444320,Early Access
906050,Casual
906050,Indie
351910,Indie
351910,Simulation
351910,Strategy
513480,Adventure
513480,Indie
513480,Simulation
2010700,Action
2010700,Adventure
2010700,Casual
2010700,Indie
2010700,RPG
1089830,Racing
1089830,Simulation
1089830,Sports
403070,Adventure
403070,Indie
811440,Adventure
811440,Indie
811440,Strategy
491010,Action
491010,Adventure
491010,Indie
681290,Action
681290,Casual
681290,Indie
681290,Racing
1233460,Action
1233460,Casual
1233460,Racing
350530,Simulation
1481840,Action
1481840,Adventure
1481840,Casual
1481840,Indie
1481840,Sports
1444890,Action
1444890,Casual
1444890,Indie
1217340,Casual
1217340,Indie
1217340,Simulation
1217340,Strategy
872340,Sexual Content
872340,Violent
872340,Action
872340,Adventure
872340,Indie
523680,Action
523680,Adventure
523680,Indie
523680,Strategy
439460,Indie
439460,Simulation
1308880,Action
1308880,Adventure
1308880,Indie
296650,Action
296650,Casual
296650,Indie
296650,Strategy
1549420,Adventure
1549420,Indie
418270,Action
418270,Adventure
418270,Indie
390220,Indie
390220,Simulation
549860,Adventure
549860,Casual
549860,Indie
549860,Simulation
612380,Casual
612380,Indie
612380,Strategy
1559340,Adventure
1559340,Casual
1559340,Indie
1559340,Strategy
1632640,Adventure
1632640,Casual
1632640,Indie
1632640,Simulation
350480,Adventure
350480,Indie
220900,Action
220900,Casual
220900,Indie
220900,Strategy
1768260,Action
1768260,Casual
539090,Simulation
539090,Sports
908500,Adventure
908500,Casual
908500,Indie
908500,Strategy
1852760,Casual
1852760,Indie
809890,Adventure
809890,RPG
570770,RPG
448500,Action
448500,Adventure
448500,Casual
448500,Indie
854160,Adventure
854160,Indie
1359170,Action
1359170,Indie
897010,Adventure
897010,Casual
1607870,Action
1607870,Casual
1607870,Indie
553260,Strategy
453130,Indie
453130,Strategy
1508890,Casual
1508890,Indie
3010,Racing
1297480,Action
1297480,Casual
1297480,Indie
1297480,Strategy
1217830,Adventure
1217830,Casual
1217830,Indie
628830,Adventure
628830,Casual
628830,Indie
628830,Simulation
628830,Strategy
686440,Action
686440,Adventure
686440,Indie
686440,RPG
686440,Simulation
521710,Strategy
1986310,Adventure
1986310,Free to Play
1986310,Indie
1986310,RPG
1259660,Adventure
1259660,Casual
1259660,Indie
108200,Casual
108200,Indie
108200,Strategy
614150,Action
614150,Casual
614150,Indie
614150,Sports
1570340,Action
1570340,Adventure
304970,Animation & Modeling
304970,Design & Illustration
304970,Utilities
1630940,Casual
1630940,Indie
1630940,Simulation
878520,Adventure
878520,Casual
878520,Strategy
1927300,Action
1927300,Casual
1927300,Indie
1927300,Simulation
1927300,Early Access
340630,Action
340630,Casual
340630,Indie
704310,Action
704310,Indie
619150,Indie
619150,Simulation
1373890,Action
1373890,Casual
1373890,Indie
1373890,Early Access
1869200,Casual
1869200,Indie
1869200,Early Access
392030,Action
392030,Indie
605850,Casual
605850,Indie
441670,Action
441670,Adventure
441670,Casual
441670,Indie
962150,RPG
962150,Strategy
50990,Adventure
50990,Casual
648510,Adventure
648510,Indie
648510,RPG
1071070,Action
1071070,Adventure
1071070,Indie
1071070,Early Access
2011540,Adventure
2011540,Free to Play
2011540,Indie
2011540,RPG
1761740,Adventure
1761740,Indie
538700,Action
538700,Adventure
538700,Casual
538700,Indie
538700,RPG
538700,Sports
1564150,Action
1564150,Adventure
1564150,Indie
726870,Adventure
726870,Indie
1074390,Action
1074390,Adventure
1074390,Indie
1554780,Adventure
1554780,Casual
1554780,Indie
1065750,Adventure
1065750,Free to Play
1065750,Indie
714780,Adventure
714780,Free to Play
1321040,Adventure
1321040,Casual
1321040,Indie
1204930,Casual
1588760,Casual
1588760,Indie
1588760,Simulation
924740,Action
924740,Adventure
924740,Indie
924740,Strategy
416340,Adventure
416340,Casual
416340,Simulation
416340,Strategy
242610,Action
242610,Indie
242610,Early Access
1168980,Action
1168980,Adventure
1168980,Indie
1168980,Early Access
1277340,Adventure
1277340,Racing
1233610,Adventure
1233610,Casual
1233610,Indie
1233610,Simulation
302610,Action
302610,Indie
1638730,Action
1638730,Adventure
1638730,Casual
1638730,Indie
1484150,Casual
922520,Action
922520,Adventure
922520,Indie
1157200,Indie
1862100,Casual
2022020,Action
2022020,Casual
2022020,Indie
2022020,Simulation
2022020,Strategy
1099400,Game Development
1604610,Action
1604610,Casual
1604610,Free to Play
1604610,Indie
1604610,Massively Multiplayer
1604610,Early Access
503060,Adventure
503060,Casual
1275970,Adventure
1275970,Indie
1275970,RPG
1275970,Strategy
847490,Action
847490,Casual
847490,Indie
1101580,Simulation
201010,Strategy
201010,RPG
201010,Indie
837610,Sexual Content
837610,Adventure
837610,RPG
837610,Strategy
1029870,Adventure
1029870,Casual
1029870,Strategy
205690,Adventure
205690,Indie
632240,Casual
632240,Indie
632240,Sports
898910,Action
898910,Indie
898910,Early Access
1042930,Action
1042930,Indie
1042930,Racing
109500,Action
109500,Indie
539290,Casual
1603600,Indie
1603600,Massively Multiplayer
1603600,Simulation
1603600,Strategy
489100,Casual
489100,Indie
489100,Racing
489100,Early Access
1310620,Action
1310620,Adventure
1310620,Indie
1310620,Strategy
740450,Action
740450,Adventure
740450,Indie
1646090,Action
1646090,Indie
448670,Action
448670,Casual
448670,Indie
448670,Simulation
1956110,Casual
1956110,Free to Play
1956110,Indie
1956110,Simulation
542740,Action
542740,Casual
687980,Free to Play
687980,Indie
687980,RPG
612120,Nudity
612120,Violent
612120,Action
612120,Adventure
612120,Indie
1259000,Free to Play
1259000,Indie
1259000,Massively Multiplayer
1259000,RPG
1380060,Casual
1380060,Indie
1380060,Racing
1380060,Sports
814560,Action
814560,Casual
814560,Indie
701100,Free to Play
701100,Simulation
1407060,Adventure
1407060,Indie
1495860,Casual
1495860,Indie
1126970,Indie
1126970,Strategy
1639530,Action
1639530,Adventure
1639530,Casual
1639530,Indie
1639530,Strategy
1995420,Casual
1995420,Indie
1995420,Simulation
358000,Action
358000,Adventure
358000,Indie
1856080,Action
1856080,Indie
239430,Action
239430,Adventure
239430,Indie
961490,Action
363500,Adventure
363500,Indie
286750,Casual
286750,Simulation
286750,Strategy
1565630,Action
1565630,Adventure
1565630,Casual
1565630,Indie
1751800,Action
1751800,Adventure
1751800,Indie
925360,Casual
925360,Indie
925360,Simulation
482300,Adventure
482300,Indie
482300,Simulation
964910,Casual
964910,Free to Play
964910,Indie
964910,RPG
16130,Casual
16130,Simulation
1716950,Casual
1716950,Indie
1716950,Strategy
411530,Adventure
411530,Casual
411530,Simulation
411530,Strategy
237430,Indie
237430,RPG
237430,Strategy
485120,Indie
1907570,Casual
1907570,Indie
528670,Casual
528670,Indie
1496530,Action
1496530,Casual
465070,Action
448010,Casual
448010,Indie
782630,Action
782630,Casual
782630,Free to Play
782630,Indie
1162170,Indie
1162170,RPG
1941850,Adventure
1941850,Casual
1941850,Indie
1467740,Casual
1467740,Free to Play
1467740,Indie
1212930,Action
1212930,Adventure
1212930,Indie
1580990,Adventure
1975670,Adventure
1975670,Indie
1975670,RPG
1808480,Casual
1808480,Indie
818070,RPG
818070,Early Access
1271190,Casual
1271190,RPG
1271190,Simulation
944590,Action
1299400,Casual
1299400,Indie
958090,Action
958090,Indie
607040,Adventure
607040,Casual
607040,Indie
607040,RPG
607040,Strategy
1301850,Casual
1301850,Free to Play
1301850,Indie
1301850,Early Access
299380,Action
299380,Adventure
299380,Casual
299380,Indie
1626950,Action
1626950,Adventure
1626950,Indie
342260,Adventure
342260,Indie
1684920,Action
1684920,Indie
888010,Adventure
888010,Indie
538950,Action
538950,Casual
538950,Free to Play
538950,Indie
538950,RPG
293520,Indie
293520,Simulation
502940,Casual
502940,Indie
1395560,Action
1395560,Indie
1038680,Action
1038680,Adventure
1038680,Free to Play
1038680,Massively Multiplayer
291690,Adventure
291690,Indie
1246200,Action
1246200,Adventure
1246200,Indie
1581010,Action
1581010,Adventure
1690250,Adventure
1690250,Casual
1690250,Indie
1690250,RPG
1690250,Simulation
653210,Adventure
653210,Indie
267360,Action
1694430,RPG
1694430,Early Access
1886850,Indie
1886850,Simulation
499910,Adventure
499910,Indie
1863170,Indie
1863170,Simulation
1863170,Strategy
1644840,Casual
1422880,Action
1422880,Adventure
1422880,Casual
1422880,Indie
1422880,Sports
12460,Strategy
410320,Action
1345440,Action
1345440,Adventure
1345440,Indie
757600,Adventure
952000,Action
952000,Adventure
952000,Indie
952000,RPG
952000,Early Access
1735930,Action
1735930,Adventure
1735930,Indie
336670,Free to Play
1828410,Action
1828410,Free to Play
1828410,RPG
733420,Adventure
733420,Indie
1528770,Action
1528770,Adventure
1528770,Casual
1528770,Indie
1528770,Racing
1528770,Simulation
1528770,Sports
542260,Casual
542260,Indie
369560,Action
369560,Adventure
369560,Casual
369560,Indie
1494400,Casual
394850,Action
394850,Indie
953900,Adventure
953900,Casual
953900,Indie
299480,Action
299480,Indie
1696230,Action
1696230,Adventure
1696230,Free to Play
1696230,Indie
1530670,Action
1530670,Adventure
1530670,Casual
1530670,Indie
1260220,Casual
1260220,Indie
1260220,RPG
1260220,Simulation
1503530,Action
1503530,Adventure
1503530,Casual
1503530,Indie
1503530,Racing
750960,Action
750960,Adventure
750960,Indie
1898130,Casual
1898130,Indie
523210,Casual
523210,Indie
1278170,Action
1278170,Sports
950400,Action
950400,Adventure
950400,Casual
950400,Indie
950400,Simulation
950400,Strategy
766570,Adventure
766570,Casual
766570,Free to Play
766570,Massively Multiplayer
766570,RPG
766570,Simulation
766570,Sports
1694450,Action
1694450,Casual
1694450,Indie
1694450,RPG
